Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Regulatory Status,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Erwin Gravel Pit,Addison Road,,Painted Post,NY,14870,Steuben,8,6079627021,Town of Erwin,Municipal,Landfill - land clearing debris,[51D04],Yes,318596,4664132,1 - No accuracy stated,Land Clearing Debris,Registration,51D04,,,
LeRay Transfer Station,26506 State Route 11,,Evans Mills,NY,13637,Jefferson,6,3156291550,Town of LeRay,Municipal,RHRF - 5 tpd or less - registration,[23R10024],Yes,433204,4877768,4.1 - Address Matching,Commingled Containers;Commingled Paper;Electronics;Paperboard/Boxboard;Plastic;Container Glass;Other Aluminum Scrap Metal;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal,,23R10024,11/21/2019,11/20/2024,"26506 State Route 11
Evans Mills, NY 13637
(44.050222, -75.835229)"
RNV Green Processing & Supply Corp,1 Lane Gate Road,,Cold Spring,NY,10516,Putnam,3,8452654161,Ricky Ventura,Private,C&D processing - registration,[40W06],Yes,590515,4587162,1 - No accuracy stated,,Registration,40W06,11/29/2011,,"1 Lane Gate Road
Cold Spring, NY 10516
(41.429958, -73.917734)"
Specht's Auto Recycling Corp,102 Covered Bridge Road,,Warwick,NY,10990,Orange,3,8459861052,Randolph G. Specht Jr.,Private,Vehicle Dismantling Facility,[36J23],Yes,549407,4565594,,,,,,,"102 Covered Bridge Road
Warwick, NY 10990
(41.238752, -74.411104)"
B&B Auto Salvage,9362 State Route 9,,Chazy,NY,12921,Clinton,5,5188467800,Robert Bourgeois,Private,VDF - small - registration,[10V20002],Yes,624534,4969841,4 - GIS Assisted,End of Life Vehicles,Registration,10V20002,07/25/2019,07/25/2024,"9362 State Route 9
Chazy, NY 12921
(44.870298, -73.422983)"
Downtown Tire,50 Sycamore Street,,Buffalo,NY,14203,Erie,9,7168561066,Ben's Tire Center,Private,Waste tire storage - Dealer,[15K49],Yes,184150,4755736,4.2 - Utilization of GIS and existing spatial data,Waste Tires,Registration,15K49,,,"50 Sycamore Street
Buffalo, NY 14203
(42.888491, -78.868274)"
Long Island Compost Farm #20,County Route 51 (Eastport Manor Rd & Head of the Neck Rd),SCTM 200-562-4-21,Eastport,NY,11941,Suffolk,1,,Long Island Compost Corp.,Private,Composting - yard waste  - registration,[52Y42R],Yes,689957,4523290,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste,Registration,52Y42R,05/24/2005,,
Chester Transfer Station,63 Landfill Road,,Chestertown,NY,12817,Warren,5,5184942711,Town of Chester,Municipal,Transfer facility - registration,[57T10009],Yes,595469,4838404,,MSW (Residential/Institutional & Commercial);Metals (Ferrous & Non-Ferrous);Construction & Demolition Debris,Registration,57T10009,04/22/2019,04/21/2024,"63 Landfill Road
Chestertown, NY 12817
(43.694693, -73.815634)"
Poland Sand & Gravel,Koenig Road,,Floyd,NY,13440,Oneida,6,,PSG Realty LLC,Private,CDDHRF - asphalt pavement and millings - registration,[33C20024],Yes,472117,4782361,1.1 - Obtained from original submission and unverified process,Asphalt Pavement,,33C20024,10/15/2020,10/14/2025,
Thurman Transfer Station,1 Erving Baker Road,,Athol,NY,12810,Warren,5,5186239649,Town of Thurman,Municipal,Transfer station - registration,[57R10],Yes,586072,4821340,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous);Electronics,Registration,57M10,06/20/1996,,"1 Erving Baker Road
Athol, NY 12810
(43.516137, -73.900635)"
Simmons Septic,75 Mill Street,,Hannibal,NY,13074,Oswego,7,3155910260,William Simmons,Private,Land application - septage - registration,[38A40028],Yes,371313,4798724,4.2 - Utilization of GIS and existing spatial data,Septage,Registration,38A40028,05/05/2020,05/04/2025,"75 Mill Street
Hannibal, NY 13074
(43.327615, -76.579505)"
Lee (T) Land Clearing Debris Processing,4771 Lee Center Taberg Road; Hardy Road,,Lee Center,NY,13363,Oneida,6,3153363438,Town of Lee,Municipal,C&D processing - registration,[33W06],Yes,453484,4794706,1 - No accuracy stated,Wood (Brush/ Branches/ Trees/ Stumps);Wood (Chips),Registration,33W06,06/06/2013,,"4771 Lee Center Taberg Road; Hardy Road
Lee Center, NY 13363
(43.310404, -75.545408)"
Omni Recycling of Babylon Inc,114 Alder Street,,West Babylon,NY,11704,Suffolk,1,6316941694,Omni Recycling of Babylon Inc,Private,Transfer station - permit,[52M19],Yes,635534,4510107,4.3 - Utilization of Digital Orthophoto Quads,Waste Tires;MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Paper & Containers;Wood (Brush/ Branches/ Trees/ Stumps);Yard Waste;Newspaper;Commingled Plastics;Electronics,Permit,1-4720-00643/00002-0,02/17/2017,02/16/2022,"114 Alder Street
West Babylon, NY 11704
(40.731886, -73.395643)"
Truckin Construction Corp,450 Shore Road,,Glenwood Landing,NY,11547,Nassau,1,5166743943,David & JoAnn Johansen,Private,C&D processing - registration,[30W51R],Yes,613962,4521126,4.3 - Utilization of Digital Orthophoto Quads,Wood (Clean);Wood (Brush/ Branches/ Trees/ Stumps);Metals (Ferrous);Metals (Non-Ferrous);Soil (Clean),,,,,"450 Shore Road
Glenwood Landing, NY 11547
(40.833171, -73.649352)"
Zuech's Environmental Services Inc.,8312 Rt. 98,,Franklinville,NY,14737,Cattaraugus,9,7166763388,Zuech's Environmental Services Inc.,,Storage - septage - registration,[05A50003],Yes,215973,4696611,1 - No accuracy stated,Septage,Registration,05A50003,08/29/2018,08/29/2023,"8312 Rt. 98
Franklinville, NY 14737
(42.368837, -78.450829)"
Arietta Sand Pit Land Clearing Debris Landfill,139 Old Piseco Road,,Arietta,NY,12139,Hamilton,5,5185483415,Town of Arietta,Municipal,Landfill - land clearing debris,[21D02],Yes,539276,4810398,1 - No accuracy stated,Land Clearing Debris,Registration,21D02,05/19/1994,,
Cortland County Landfill Westside Extension,4708 Town Line Rd.,,McGraw,NY,13101,Cortland,7,6077568077,Cortland County,County,Composting - SSO - registration,[12P20011],Yes,411963,4720428,,Source Separated Organic Waste (SSOW),,12P20011,02/10/2020,02/09/2025,"4708 Town Line Rd.
McGraw, NY 13101
(42.626287, -76.07004)"
Baroni Coeymans Recycling Center,20 Village Industrial Park Lane,,Coeymans,NY,12045,Albany,4,5187568525,Baroni Coeymans Recycling Center,Private,Scrap metal processor - registration,[01V32402],Yes,737993,4248068,,Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,Registration,01V32402,05/01/2019,05/01/2024,
DSNY FRESH KILLS COMPOSTING FACILITY,450 W. Service Rd.,,Staten Island,NY,10314,Richmond,2,8457532242,NYC Department of Sanitation,,Composting - yard waste - permit,[43Y20],Yes,568800,4492400,,Yard Waste,SAPA,,,06/26/2018,
Rockland County SWMA Haverstraw (Bowline) TS,200 Beach Road,,West Haverstraw,NY,10993,Rockland,3,8454291823,Rockland County SWMA,County,Transfer station - permit,[44T07],Yes,586654,4562150,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Metals (Ferrous & Non-Ferrous);White Goods;Waste Tires,None,3-3922-00096/00002,03/25/2013,03/25/2020,"200 Beach Road
West Haverstraw, NY 10993
(41.208412, -73.970849)"
Cuomo Farms,847 Coplon Road,,Rotterdam,NY,12306,Schenectady,4,5182212607,Cuomo Farms,,Land application - septage - registration,[47A42803],Yes,579077,4742684,,Septage,Registration,47A42803,04/01/2019,04/01/2024,"847 Coplon Road
Rotterdam, NY 12306
(42.832287, -74.031756)"
Jeff Sanitation,5239 State Route 52,,Jeffersonville,NY,12748,Sullivan,3,8454820926,,,Transfer facility - permit,[53T10],Yes,504713,4622887,,,None,3-4826-00119/00001,06/09/2015,06/08/2020,"5239 State Route 52
Jeffersonville, NY 12748
(41.757389, -74.943423)"
Lake George Transfer Station,70 Transfer Road,PO Box 392,Lake George,NY,12845,Warren,5,5186682742,Town of Lake George,Municipal,Transfer facility - registration,[57T10003],Yes,603017,4805828,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Metals (Ferrous & Non-Ferrous);Electronics,Registration,57T10003,11/01/2018,10/31/2023,"70 Transfer Road
Lake George, NY 12845
(43.400627, -73.728578)"
Johnson's Auto Crushers Inc,81 Ballard Road,,Wilton,NY,12831,Saratoga,5,5185848110,James V. Johnson,Private,Mobile vehicle crusher - registration,[46V60022],Yes,606398,4776405,,End of Life Vehicles,Registration,46V60022,01/21/2020,01/20/2025,"81 Ballard Road
Wilton, NY 12831
(43.159481, -73.689799)"
Tri-State Transfer Associates Inc (Asbestos),1199 Randall Ave,,Bronx,NY,10474,Bronx,2,7186170771,Jaime Byrne Baranoff,Private,Transfer station - permit,[03T34],Yes,593559,4518435,,Asbestos (Friable);Asbestos (Non-Friable);Construction & Demolition Debris,Permit,2-6007-00006/00006,03/29/2017,03/28/2022,"1199 Randall Ave
Bronx, NY 10474
(40.811468, -73.890845)"
Oneida-Herkimer Solid Waste Authority - Leland Ave. Ext.,80 Leland Avenue,,Utica,NY,13502,Oneida,6,3157380417,Oneida Herkimer SWA,Municipal,Waste oil storage; reprocessing or rerefining facility,[33O01],Yes,484432,4772023,,,Permit,6-3016-0008/00002,06/20/2017,08/31/2022,"80 Leland Avenue
Utica, NY 13502
(43.106545, -75.212374)"
Homestead Organics,Dufel Road,,Glen,NY,12010,Montgomery,4,5188487185,Ken Van Alstine,Private,Research; development and demonstration,[29Z03],Yes,557941,4753527,,,Permit,4-2728-00060/00001,01/14/2017,01/13/2018,
Sea Cliff (V),68 Altamont Ave,,Sea Cliff,NY,11579,Nassau,1,5166710080,Village of Sea Cliff,Municipal,RHRF - 5 tpd or less - registration,[30R10118],Yes,614817,4523305,,Single Stream;Electronics;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal;Enameled Appliances / White Goods,Registration,30-0118,10/03/2019,10/02/2024,"68 Altamont Ave
Sea Cliff, NY 11579
(40.85255, -73.638534)"
Hanson Aggregate - Ithaca RMC,30 Pinckney Road,,Ithaca,NY,14850,Tompkins,7,3152338956,Hanson Aggregates New York LLC,Private,CDDHRF - concrete rock brick - registration,[55C10015],Yes,384252,4703423,4 - GIS Assisted,Concrete,Registration,55C10015,01/08/2019,01/07/2024,"30 Pinckney Road
Ithaca, NY 14850
(42.47223, -76.404872)"
Cortland County Landfill Westside Extension,4708 Town Line Rd.,,McGraw,NY,13101,Cortland,7,6077568077,Cortland County,County,Landfill - MSW - permit,[12LS0001],Yes,412515,4720747,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Sewage Treatment Plant Sludge;Asbestos (Friable & Non-Friable),Permit,7-1122-00052/00007,11/12/2014,11/11/2024,"4708 Town Line Rd.
McGraw, NY 13101
(42.626287, -76.07004)"
Green's Auto Repair Inc,300 Beekman-Poughquag,,Poughquag,NY,12570,Dutchess,3,8457245362,Brian Green,Private,VDF - large - registration,[14V50004],Yes,609557,4607492,,End of Life Vehicles;Gasoline;Lead-acid Batteries;Brake Fluid;Used Oil;Waste Tire,Registration,14V50004,01/29/2019,01/29/2024,"300 Beekman-Poughquag
Poughquag, NY 12570
(41.611747, -73.685618)"
Winters Bros Waste Systems LI LLC - 19 Nancy Babylon,19 Nancy Street,,West Babylon,NY,11704,Suffolk,1,6314917270,Winters Bros Waste Systems LI; LLC,Private,RHRF - permit,[52T51],Yes,637300,4510700,,,,,,,"19 Nancy Street
West Babylon, NY 11704
(40.735644, -73.374227)"
Copake Convenience Station,County Route 7A,,Copake,NY,12526,Columbia,4,5183292151,Columbia County,County,Transfer station - registration,[11R32],Yes,619384,4664962,,MSW (Residential/Institutional & Commercial);Single Stream,Registration,11R32,,,
Raimondo Brothers; Inc.,5866 Minoa Road,,Kirkville,NY,13082,Onondaga,7,3156373872,Gary Raimondo,Private,Composting - SSO - registration,[34P20052],Yes,418610,4767569,4.1 - Address Matching,Non-recognizable Food Processing Waste,Registration,34P20052,05/15/2018,05/15/2023,"5866 Minoa Road
Kirkville, NY 13082
(43.055738, -75.999773)"
Frontier Auto Wrecking Inc,493 Young Street,,Tonawanda,NY,14150,Erie,9,7166932240,Gene Gregoric,Private,Motor vehicle repair shop - large - registration,[15V40047],Yes,185081,4769156,1 - No accuracy stated,End of Life Vehicles,Registration,15V40047,04/02/2019,04/02/2024,"493 Young Street
Tonawanda, NY 14150
(43.00972, -78.864081)"
Kach's Auto Service,4800 Witmer Road,,Niagara Falls,NY,14305,Niagara,9,7162823455,William L. Kachinoski,Private,VDF - large - registration,[32V50020],Yes,172105,4782709,1 - No accuracy stated,End of Life Vehicles,Registration,32V40020,10/07/2019,10/07/2024,"4800 Witmer Road
Niagara Falls, NY 14305
(43.130014, -79.008145)"
Bolton Transfer Station,107 Finkle Road,,Bolton Landing,NY,12814,Warren,5,5186442973,Town of Bolton,Municipal,RHRF - 5 tpd or less - registration,[57R10002],Yes,606784,4825414,,Commingled Containers;Commingled Paper;Magazines;Electronics;Newspaper,Registration,57R10002,11/02/2018,11/01/2023,"107 Finkle Road
Bolton Landing, NY 12814
(43.573669, -73.677447)"
Southold Town Transfer Station,6155 Cox Lane,,Cutchogue,NY,11935,Suffolk,1,6317347685,Town of Southold,Municipal,Composting - yard waste - permit,[52PP0265],Yes,710472,4545365,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste,Permit,1-4738-02967/00001,12/03/2015,12/02/2020,"6155 Cox Lane
Cutchogue, NY 11935
(41.032877, -72.498897)"
Mom and Pop's Recycling; LLC,6643 Route  60,,Cassadaga,NY,14718,Chautauqua,9,7165952045,Mom and Pop's Recycling; LLC,Private,VDF - large - registration,[07V50050],Yes,145825,4691195,1 - No accuracy stated,End of Life Vehicles,Registration,07V50050,06/13/2019,06/13/2024,"6643 Route  60
Cassadaga, NY 14718
(42.292168, -79.295805)"
Kloiber Auto Recycling; Inc,10353 Darien Road,,Holland,NY,14080,Erie,9,7166554012,David Kloiber,Private,VDF - large - registration,[15V50038],Yes,204307,4731808,1 - No accuracy stated,End of Life Vehicles,Registration,15V50038,02/19/2019,02/19/2024,"10353 Darien Road
Holland, NY 14080
(42.684183, -78.609081)"
Tom & Paul's Tire Trax Inc,1233 East Main Street,,Rochester,NY,14609,Monroe,8,5854822940,Paul Palmer,Private,WTHRF - seller - registration,[28W20011],Yes,290319,4781961,4.2 - Utilization of GIS and existing spatial data,Tire,Registration,28W20011,03/06/2019,03/05/2024,"1233 East Main Street
Rochester, NY 14609
(43.161575, -77.579159)"
Weitsman Shredding; LLC - Owego,1 Recycle Drive,,Owego,NY,13827-0420,Tioga,7,6076877777,Adam Weitsman,,Scrap metal processor - registration,[54V30016],Yes,394897,4666245,4.1 - Address Matching,,Registration,54V30016,06/28/2018,06/28/2023,"1 Recycle Drive
Owego, NY 13827-0420
(42.141847, -76.271371)"
Waste Management of NY (EWI),21 Gansevoort Street,,Albany,NY,12202,Albany,4,5184634433,Waste Management of New York; LLC,Private,Transfer station - permit,[01T70],Yes,601897,4721381,,MSW (Residential/Institutional & Commercial),Permit,4-0101-00283/00001,05/02/2018,05/01/2028,"21 Gansevoort Street
Albany, NY 12202
(42.637741, -73.757698)"
Shue Brothers Excavating & Logging Inc,3579 Kelpytown Road,,Port Leyden,NY,13433,Lewis,6,3153486268,Ronald Shue,Private,RHRF - registration,[25M03],Yes,471457,4827300,,Source Separated Recyclables (Metal/Glass/Paper/Plastic),Registration,25M03,04/24/2015,,"3579 Kelpytown Road
Port Leyden, NY 13433
(43.599549, -75.354316)"
Wilmington Transfer Station,Bonnieview Road,,Wilmington,NY,12997,Essex,5,5189467179,Essex County,County,Transfer station - registration,[16R34],Yes,596330,4921122,,MSW (Residential/Institutional & Commercial),Registration,16R34,02/09/1994,,
Bath Sanitary Landfill,5632 Turnpike Road,,Bath,NY,14810,Steuben,8,6077763191,Steuben County,County,Landfill - MSW - permit,[51LS0025],Yes,303935,4687722,1 - No accuracy stated,Asbestos (Friable);Construction & Demolition Debris;Non-Radioactive;Commingled Paper & Containers;Industrial;Petroleum Contaminated Soil;MSW (Residential/Institutional & Commercial),Permit,8-4624-00031/00010,02/13/2014,02/12/2024,"5632 Turnpike Road
Bath, NY 14810
(42.324654, -77.383997)"
Pittsfield (T) Transfer Station,Mumbulo Road,,Pittsfield,NY,13411,Otsego,4,6078479885,Town of Pittsfield,Municipal,Transfer facility - registration,[39T15201],Yes,481577,4722480,,MSW (Residential/Institutional & Commercial),Registration,39T15201,04/01/2019,04/01/2024,
ESMI of New York,304 Towpath Road,,Fort Edward,NY,12828,Washington,5,5187475500,Environmental Soil Management of NY LLC,Private,Research Development & Demonstration - registration,[58Z10005],Yes,615717,4796220,4.3 - Utilization of Digital Orthophoto Quads,,Registration,,,,"304 Towpath Road
Fort Edward, NY 12828
(43.278893, -73.573836)"
Henry's Service Center,4414 Arthur Kill Road,,Staten Island,NY,10309,Richmond,2,7189482725,Enrico Ariena,Private,Vehicle Dismantling Facility,[7022688],Yes,564696,4487405,,,,,,,"4414 Arthur Kill Road
Staten Island, NY 10309
(40.53457, -74.236007)"
Olive TS (T),580 Beaverkill Road,,Olive,NY,12461,Ulster,3,9146578177,Town of Olive,Municipal,Transfer station - registration,[56R06],Yes,566288,4643165,,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Glass;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Electronics,Registration,56R06,,,"580 Beaverkill Road
Olive, NY 12461
(41.938301, -74.201181)"
Metalico Rochester - Scottsville Road,1515 Scottsville Road,,Chili,NY,14623,Monroe,8,5854360713,Metalico Rochester,Private,Scrap metal processor - registration,[28V30014],Yes,282000,4775750,4.2 - Utilization of GIS and existing spatial data,Scrap Metal - Ferrous ;Scrap Metal - Aluminum ;Scrap Metal - Non-ferrous,Registration,28V30014,04/16/2019,04/15/2024,"1515 Scottsville Road
Chili, NY 14623
(43.103281, -77.677105)"
RED HOOK COMMUNITY FARM COMPOST FACILITY,103 OTSEGO,,BROOKLYN,NY,11218,Kings,2,9174142805,Red Hook Initiative,,Composting - source separated organic waste - registration,[24CG4],Yes,11111,11111,1 - No accuracy stated,,,,,,"103 OTSEGO
BROOKLYN, NY 11218
(40.672785, -74.010748)"
Liberty Scrap Metal Inc,95-49 Tuckerton Street,,Jamaica,NY,11433,Queens,2,7186576900,Liberty Scrap Metal Inc,Private,Vehicle Dismantling Facility,[7115342],Yes,601279,4506179,,,,,,,"95-49 Tuckerton Street
Jamaica, NY 11433
(40.699304, -73.801168)"
Bodow Recycling; Inc.,1925 Park Street,,Syracuse,NY,13208,Onondaga,7,3154222552,Andrea Knoller,Private,RHRF - 5 tpd or less - registration,[34R10007],Yes,405057,4769353,4.1 - Address Matching,Commingled Paper;Paperboard/Boxboard;Office Paper;Other Aluminum Scrap Metal;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal,Registration,34R10007,05/15/2018,05/15/2023,"1925 Park Street
Syracuse, NY 13208
(43.071573, -76.165751)"
Farnham Site 2; Elm Flat Rd,Elm Flat Road,,Chautauqua,NY,14757,Chautauqua,9,7167537005,Matthew Farnham,Private,Land application - septage - registration,[07A40020],Yes,131545,4691798,4.2.1 - Utilization of GIS and Facility Mapping System,Septage,Registration,07A40020,08/24/2018,08/24/2023,
